snapshot_month,sku,brand,brand_tier,category,business_mode,price_band,gender_segment,style_type,core_or_seasonal,clearance_flag,replenishable_flag,gross_margin_pct,sell_through_rate,gmroi,inventory_value,sold_units,ending_inventory_units,inventory_age_days,weeks_of_supply,discount_factor,discount_depth,cost_to_msrp_ratio,price_cost_spread,quadrant_label,recommended_action,action_priority
2026-01-01,SKU00001,Reebok Underwear,Tier 2,Basketball Shoes,Buyout,Mass,Men,Fashion,Seasonal,1,0,0.6188593613526853,0.003525,0.0064578947368421,244186.0,31,8300,288.7236842105263,821.7675,0.12851473041218492,0.871485269587815,0.0508,0.07771473041218492,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
2026-01-01,SKU00002,Hoka,Tier 1,Bags,Consignment,Premium,Men,Clearance,Seasonal,1,0,0.853743673861295,0.0016828947368421,0.0066855263157894,189096.18,10,8218,132.30263157894737,953.0763157894736,0.22502543479292242,0.7749745652070776,0.0165,0.2085254347929224,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
2026-01-01,SKU00003,Fila,Tier 3,Bags,Buyout,Premium,Men,Core Basic,Core,0,1,0.4590177389600508,0.0052118421052631,0.0045934210526315,1061955.6,31,7928,139.30263157894737,818.6930263157894,0.19331278062087176,0.8066872193791282,0.1016,0.09171278062087176,Low Margin + Low Sell-through,Clearance / Eliminate,High
2026-01-01,SKU00004,Puma,Tier 3,Accessories,Consignment,Mass,Men,Clearance,Seasonal,1,0,0.806166976060175,0.0029302631578947,0.0023131578947368,195510.48,19,7909,126.89473684210526,887.6315789473684,0.20506077799022698,0.7949392220097731,0.0456,0.15946077799022698,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
2026-01-01,SKU00005,Nike,Tier 1,Performance Apparel,Buyout,Premium,Women,Performance,Seasonal,0,0,0.2556099576592879,0.002125,0.0008197368421052,2187316.17,12,8777,131.10526315789474,929.2236842105264,0.2264816394273991,0.7735183605726009,0.1697,0.05678163942739911,Low Margin + Low Sell-through,Clearance / Eliminate,High
2026-01-01,SKU00006,Asics,Tier 3,Sportswear,Consignment,Entry,Women,Performance,Seasonal,0,1,0.8429221678776398,0.0073078947368421,0.014375,24093.93,58,8337,128.82894736842104,743.5781578947368,0.19437499533662134,0.8056250046633786,0.0192,0.17517499533662134,High Margin + High Sell-through,Main Push / Monitor Inventory,Low
2026-01-01,SKU00007,On Running,Tier 1,Outdoor Apparel,Buyout,Premium,Women,Fashion,Seasonal,0,1,0.6432469468798101,0.0078631578947368,0.0162697368421052,748602.0,56,8100,129.64473684210526,778.9227631578947,0.23164640476998724,0.7683535952300128,0.0812,0.15044640476998725,High Margin + High Sell-through,Main Push / Monitor Inventory,Low
2026-01-01,SKU00008,Brooks Brothers,Tier 1,Yoga Apparel,Consignment,Mass,Women,Fashion,Seasonal,0,1,0.8282168586001998,0.0148368421052631,0.0158710526315789,123629.94,111,8253,137.27631578947367,537.109605263158,0.23178182788437682,0.7682181721156232,0.0443,0.1874818278843768,High Margin + High Sell-through,Main Push / Monitor Inventory,Low
2026-01-01,SKU00009,Reebok Underwear,Tier 2,Accessories,Consignment,Mass,Men,Clearance,Seasonal,1,0,0.8165195643639218,0.0061118421052631,0.00775,178693.35,49,8781,132.71052631578948,787.6902631578947,0.2066095523933016,0.7933904476066984,0.0461,0.16050955239330159,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
2026-01-01,SKU00010,Fila,Tier 3,Kids Apparel,Consignment,Mass,Women,Fashion,Seasonal,0,1,0.8256542224072357,0.0023763157894736,0.0031973684210526,162705.51,19,8019,140.93421052631578,882.9956578947368,0.1883574194971574,0.8116425805028427,0.0343,0.1540574194971574,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
2026-01-01,SKU00011,Champion,Tier 3,Kids Apparel,Buyout,Premium,Men,Core Basic,Core,0,1,0.1429418742586002,0.005753947368421,0.0010368421052631,1490505.6,51,9133,136.9078947368421,770.5746052631579,0.19541328319184956,0.8045867168081504,0.17550000000000002,0.01991328319184954,Low Margin + Low Sell-through,Clearance / Eliminate,High
2026-01-01,SKU00012,Under Armour,Tier 3,Yoga Apparel,Buyout,Mass,Women,Core Basic,Seasonal,0,0,0.3173741790776597,0.0093460526315789,0.0052960526315789,446211.5,61,8050,144.14473684210526,713.6902631578947,0.19881205591775714,0.8011879440822429,0.1281,0.07071205591775714,Low Margin + High Sell-through,Traffic Driver / Control Discount,Medium
2026-01-01,SKU00013,Reebok Underwear,Tier 2,Outdoor Apparel,Consignment,Luxury,Men,Performance,Seasonal,1,0,0.8307304349454913,0.0087223684210526,0.0046631578947368,933037.86,70,8549,307.2105263157895,706.9272368421052,0.1284051326682052,0.8715948673317948,0.0481,0.08030513266820519,High Margin + High Sell-through,Main Push / Monitor Inventory,Low
2026-01-01,SKU00014,On Running,Tier 1,Underwear,Consignment,Entry,Women,Core Basic,Seasonal,1,0,0.815353387461733,0.0076381578947368,0.0064618421052631,51429.0,50,7900,288.5131578947368,758.5684210526315,0.1309636129444104,0.8690363870555896,0.0334,0.09756361294441039,High Margin + High Sell-through,Main Push / Monitor Inventory,Low
2026-01-01,SKU00015,Brand B,Tier 2,Sportswear,Own Brand,Premium,Men,Performance,Seasonal,0,0,0.5037150813076611,0.0269618421052631,0.0308276315789473,1410816.4,226,9095,140.01315789473685,327.3013157894737,0.2558333893204743,0.7441666106795257,0.1317,0.12413338932047427,Low Margin + High Sell-through,Traffic Driver / Control Discount,Medium
2026-01-01,SKU00016,Cole Haan,Tier 2,Underwear,Buyout,Mass,Kids,Fashion,Seasonal,0,1,0.5650224215246636,0.0024657894736842,0.0034710526315789,308187.43,23,10249,199.5394736842105,896.4605263157895,0.15922013843979782,0.8407798615602022,0.072,0.08722013843979783,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
2026-01-01,SKU00017,Lululemon,Tier 1,Sportswear,Consignment,Entry,Men,Core Basic,Seasonal,0,0,0.8110400568434141,0.0030947368421052,0.004703947368421,116314.8,21,8540,121.23684210526316,871.2675,0.222328058559145,0.777671941440855,0.04809999999999999,0.17422805855914503,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
2026-01-01,SKU00018,Adidas,Tier 1,Training Shoes,Consignment,Premium,Kids,Core Basic,Core,0,1,0.8283823725411795,0.0028763157894736,0.0053631578947368,261929.85,21,8463,125.30263157894736,879.4561842105263,0.2290579273153251,0.770942072684675,0.026,0.2030579273153251,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
2026-01-01,SKU00019,Brand A,Tier 2,Bags,Own Brand,Entry,Unisex,Fashion,Seasonal,0,1,0.1902964959568733,0.0045736842105263,0.0011592105263157,492107.77,42,9361,143.93421052631578,820.2257894736842,0.25719423277427517,0.7428057672257249,0.1953,0.061894232774275165,Low Margin + Low Sell-through,Clearance / Eliminate,High
2026-01-01,SKU00020,Salomon,Tier 3,Kids Apparel,Consignment,Mass,Women,Performance,Seasonal,0,0,0.8394844273198477,0.0089381578947368,0.0120697368421052,108636.72,59,8376,143.05263157894737,738.3772368421053,0.19131637751762304,0.808683622482377,0.0283,0.16301637751762305,High Margin + High Sell-through,Main Push / Monitor Inventory,Low
2026-01-01,SKU00021,The North Face,Tier 3,Outdoor Apparel,Buyout,Premium,Unisex,Clearance,Seasonal,1,0,0.382570405714947,0.0105631578947368,0.0074013157894736,799224.66,79,7943,297.82894736842104,661.8809210526315,0.13108655523758775,0.8689134447624123,0.0808,0.05028655523758775,Low Margin + High Sell-through,Traffic Driver / Control Discount,Medium
2026-01-01,SKU00022,Reebok Underwear,Tier 2,Outdoor Apparel,Buyout,Luxury,Unisex,Fashion,Seasonal,0,1,0.1386921805841433,0.0095513157894736,0.0016381578947368,2316266.04,72,8187,139.51315789473685,682.8736842105263,0.19783450829982552,0.8021654917001745,0.1748,0.023034508299825507,Low Margin + High Sell-through,Traffic Driver / Control Discount,Medium
