month,store_id,store_name,city,region,channel,store_format,traffic,member_uv,new_member_uv,returning_member_uv,assisted_visits,try_on_count,orders,buyers,gross_units,gmv,recognized_revenue,traffic_to_order_cvr,member_cvr,try_on_cvr,upt,aur
2026-01-01,S001,Himaxx Beijing Warehouse 1,Beijing,North China,Himaxx Warehouse Outlet,Mall Warehouse,8306,4130,937,3193,3754,1296,388,384,597,108240.02,77098.86,0.04671321935949916,0.09297820823244551,0.2993827160493827,1.538659793814433,181.3065661641541
2026-01-01,S002,Himaxx Nanjing Warehouse 2,Nanjing,East China,Himaxx Warehouse Outlet,Shopping Center Warehouse,7779,3970,923,3047,3577,1342,273,272,437,76469.93,53486.659999999996,0.0350944851523332,0.06851385390428212,0.20342771982116245,1.6007326007326008,174.98839816933636
2026-01-01,S003,Himaxx Shenzhen Warehouse 3,Shenzhen,South China,Himaxx Warehouse Outlet,Warehouse Outlet,7129,3281,715,2566,3138,1274,163,162,260,43368.18,34052.97,0.02286435685229345,0.04937519049070405,0.12794348508634223,1.5950920245398772,166.80069230769232
2026-01-01,S004,Himaxx Xiamen Warehouse 4,Xiamen,South China,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,6927,3017,591,2426,2922,1123,249,249,375,49317.840000000004,34274.22,0.03594629709831096,0.08253231687106397,0.22172751558325912,1.5060240963855422,131.51424
2026-01-01,S005,Himaxx Changsha Warehouse 5,Changsha,Central China,Himaxx Warehouse Outlet,Shopping Center Warehouse,7491,3380,792,2588,3279,1137,230,228,387,61508.65,46158.66,0.030703510879722333,0.06745562130177515,0.2022867194371152,1.682608695652174,158.93708010335916
2026-01-01,S006,Himaxx Qingdao Warehouse 6,Qingdao,North China,Himaxx Warehouse Outlet,Warehouse Outlet,8085,3783,833,2950,4002,1525,212,211,326,55594.07,40798.02,0.02622139764996908,0.05577583928099392,0.13901639344262295,1.5377358490566038,170.53395705521473
2026-01-01,S007,Himaxx Wuhan Warehouse 7,Wuhan,Central China,Himaxx Warehouse Outlet,Mall Warehouse,7819,3642,762,2880,3119,1150,310,310,511,90460.22,68315.44,0.0396470136846144,0.08511806699615596,0.26956521739130435,1.6483870967741936,177.0258708414873
2026-01-01,S008,Himaxx Changsha Warehouse 8,Changsha,Central China,Himaxx Warehouse Outlet,Mall Warehouse,7769,3574,866,2708,3343,1290,359,353,531,93875.07,71062.61,0.04620929334534689,0.09876888640179071,0.27829457364341087,1.4791086350974931,176.78920903954804
2026-01-01,S009,Himaxx Changsha Warehouse 9,Changsha,Central China,Himaxx Warehouse Outlet,Mall Warehouse,8624,4076,910,3166,4137,1502,319,317,516,88768.07,62236.14,0.036989795918367346,0.07777232580961727,0.21238348868175766,1.6175548589341693,172.03114341085274
2026-01-01,S010,Himaxx Changsha Warehouse 10,Changsha,Central China,Himaxx Warehouse Outlet,Community Warehouse,8352,4054,878,3176,3899,1471,264,263,415,77496.03,56524.9,0.031609195402298854,0.06487419832264431,0.1794697484704283,1.571969696969697,186.73742168674698
2026-01-01,S011,Himaxx Chengdu Warehouse 11,Chengdu,West China,Himaxx Warehouse Outlet,Community Warehouse,8019,3796,808,2988,3773,1372,198,198,342,59346.96,46488.36,0.024691358024691357,0.052160168598524764,0.14431486880466474,1.7272727272727273,173.52912280701753
2026-01-01,S012,Himaxx Beijing Warehouse 12,Beijing,North China,Himaxx Warehouse Outlet,Warehouse Outlet,7631,3554,854,2700,3552,1418,410,407,679,112428.22,82223.06,0.053728213864500066,0.11451885199774901,0.28913963328631875,1.6560975609756097,165.57911634756996
2026-01-01,S013,Himaxx Shenzhen Warehouse 13,Shenzhen,South China,Himaxx Warehouse Outlet,Community Warehouse,7524,3592,662,2930,3412,1247,358,355,569,102089.16,78552.77,0.04758107389686337,0.09883073496659243,0.28708901363271855,1.589385474860335,179.4185588752197
2026-01-01,S014,Himaxx Tianjin Warehouse 14,Tianjin,North China,Himaxx Warehouse Outlet,Shopping Center Warehouse,7633,3487,841,2646,4014,1568,251,248,429,76492.59,56393.21,0.032883532031966464,0.07112130771436766,0.1600765306122449,1.7091633466135459,178.30440559440558
2026-01-01,S015,Himaxx Hangzhou Warehouse 15,Hangzhou,East China,Himaxx Warehouse Outlet,Mall Warehouse,7780,3814,820,2994,3377,1206,250,250,391,71668.55,52698.590000000004,0.032133676092544985,0.06554798112218144,0.20729684908789386,1.564,183.2955242966752
2026-01-01,S016,Himaxx Chengdu Warehouse 16,Chengdu,West China,Himaxx Warehouse Outlet,Shopping Center Warehouse,7399,3518,785,2733,3273,1298,389,388,610,105863.94,79754.73,0.05257467225300716,0.11028993746446845,0.2996918335901387,1.5681233933161953,173.54744262295083
2026-01-01,S017,Himaxx Hangzhou Warehouse 17,Hangzhou,East China,Himaxx Warehouse Outlet,Shopping Center Warehouse,7909,3728,779,2949,3506,1218,238,238,362,64419.06,44866.11,0.030092299911493234,0.0638412017167382,0.19540229885057472,1.5210084033613445,177.9532044198895
2026-01-01,S018,Himaxx Xi'an Warehouse 18,Xi'an,West China,Himaxx Warehouse Outlet,Mall Warehouse,7921,3422,704,2718,3535,1422,335,334,549,91572.12,67543.94,0.042292639818204775,0.09760374050263004,0.23558368495077356,1.6388059701492537,166.79803278688524
2026-01-01,S019,Himaxx Qingdao Warehouse 19,Qingdao,North China,Himaxx Warehouse Outlet,Shopping Center Warehouse,7510,3753,779,2974,3308,1195,236,236,382,67546.56,50596.159999999996,0.031424766977363516,0.06288302691180389,0.19748953974895397,1.61864406779661,176.82345549738218
2026-01-01,S020,Himaxx Shanghai Warehouse 20,Shanghai,East China,Himaxx Warehouse Outlet,Warehouse Outlet,7852,3574,798,2776,3605,1264,339,338,545,96326.1,70246.12,0.043173713703515026,0.09457190822607722,0.26819620253164556,1.607669616519174,176.7451376146789
2026-01-01,S021,Himaxx Changsha Warehouse 21,Changsha,Central China,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,7257,3657,790,2867,3478,1258,292,292,495,68942.31,51620.54,0.04023701253961692,0.07984686901832103,0.23211446740858505,1.6952054794520548,139.27739393939393
2026-01-01,S022,Himaxx Xiamen Warehouse 22,Xiamen,South China,Himaxx Warehouse Outlet,Mall Warehouse,8170,4027,886,3141,3686,1290,218,218,337,56742.76,39351.15,0.026682986536107713,0.05413459150732555,0.16899224806201552,1.5458715596330275,168.37614243323443
2026-01-01,S023,Himaxx Changsha Warehouse 23,Changsha,Central China,Himaxx Warehouse Outlet,Mall Warehouse,7017,3012,655,2357,3335,1308,297,294,497,91999.3,68859.28,0.042325780247969215,0.09760956175298804,0.22706422018348624,1.6734006734006734,185.1092555331992
2026-01-01,S024,Himaxx Chongqing Warehouse 24,Chongqing,West China,Himaxx Warehouse Outlet,Mall Warehouse,7511,3603,853,2750,3259,1195,158,158,255,46449.05,36106.36,0.021035814139262414,0.04385234526783236,0.1322175732217573,1.6139240506329113,182.15313725490196
2026-01-01,S025,Himaxx Hangzhou Warehouse 25,Hangzhou,East China,Himaxx Warehouse Outlet,Shopping Center Warehouse,8206,3745,785,2960,3548,1352,286,285,465,86774.48,63982.52,0.03485254691689008,0.07610146862483311,0.21153846153846154,1.6258741258741258,186.61178494623655
2026-01-01,S026,Himaxx Beijing Warehouse 26,Beijing,North China,Himaxx Warehouse Outlet,Shopping Center Warehouse,7669,3684,794,2890,3371,1260,380,379,621,109549.53,81482.72,0.049550136914852,0.10287730727470142,0.30158730158730157,1.6342105263157896,176.40826086956523
2026-01-01,S027,Himaxx Chengdu Warehouse 27,Chengdu,West China,Himaxx Warehouse Outlet,Shopping Center Warehouse,7454,3556,885,2671,3312,1182,129,129,200,35242.57,24284.82,0.017306144352025758,0.03627671541057368,0.10913705583756345,1.550387596899225,176.21285
